"start_index","end_index","start_name","end_name","sequence_length","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","endLayer_path_time","raw_path_time"
61,64,"3c/reludouble_3x3_reduce","3c/reludouble_3x3_0",3,"3c/reludouble_3x3_reduce-3c/convdouble_3x3_0-3c/bndouble_3x3_0-3c/reludouble_3x3_0","Elementwise","Elementwise","Elementwise-Convolution-BatchNormalization-Elementwise","","","",""
64,67,"3c/reludouble_3x3_0","3c/reludouble_3x3_1",3,"3c/reludouble_3x3_0-3c/convdouble_3x3_1-3c/bndouble_3x3_1-3c/reludouble_3x3_1","Elementwise","Elementwise","Elementwise-Convolution-BatchNormalization-Elementwise","","","",""
67,70,"3c/reludouble_3x3_1","3c/relu3x3_reduce",3,"3c/reludouble_3x3_1-3c/conv3x3_reduce-3c/bn3x3_reduce-3c/relu3x3_reduce","Elementwise","Elementwise","Elementwise-Convolution-BatchNormalization-Elementwise","","","",""
70,73,"3c/relu3x3_reduce","3c/relu3x3",3,"3c/relu3x3_reduce-3c/conv3x3-3c/bn3x3-3c/relu3x3","Elementwise","Elementwise","Elementwise-Convolution-BatchNormalization-Elementwise","","","",""
73,76,"3c/relu3x3","4a/convproj",3,"3c/relu3x3-3c/ch_concatchconcat-4a/avg_poolpool-4a/convproj","Elementwise","Convolution","Elementwise-Catenate-Pooling-Convolution","","","",""
76,79,"4a/convproj","4a/convdouble_3x3_reduce",3,"4a/convproj-4a/bnproj-4a/reluproj-4a/convdouble_3x3_reduce","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Convolution","","","",""
79,82,"4a/convdouble_3x3_reduce","4a/convdouble_3x3_0",3,"4a/convdouble_3x3_reduce-4a/bndouble_3x3_reduce-4a/reludouble_3x3_reduce-4a/convdouble_3x3_0","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Convolution","","","",""
82,85,"","","","","","","","","","",""
85,88,"4a/convdouble_3x3_1","4a/conv3x3_reduce",3,"4a/convdouble_3x3_1-4a/bndouble_3x3_1-4a/reludouble_3x3_1-4a/conv3x3_reduce","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Convolution","","","",""
88,91,"4a/conv3x3_reduce","4a/conv3x3",3,"4a/conv3x3_reduce-4a/bn3x3_reduce-4a/relu3x3_reduce-4a/conv3x3","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Convolution","","","",""
91,94,"4a/conv3x3","4a/conv1x1",3,"4a/conv3x3-4a/bn3x3-4a/relu3x3-4a/conv1x1","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Convolution","","","",""
94,97,"4a/conv1x1","4a/ch_concatchconcat",3,"4a/conv1x1-4a/bn1x1-4a/relu1x1-4a/ch_concatchconcat","Convolution","Catenate","Convolution-BatchNormalization-Elementwise-Catenate","","","",""
97,100,"","","","","","","","","","",""
100,103,"4b/bnproj","4b/bndouble_3x3_reduce",3,"4b/bnproj-4b/reluproj-4b/convdouble_3x3_reduce-4b/bndouble_3x3_reduce","BatchNormalization","BatchNormalization","BatchNormalization-Elementwise-Convolution-BatchNormalization","","","",""
103,106,"","","","","","","","","","",""
106,109,"","","","","","","","","","",""
109,112,"4b/bndouble_3x3_1","4b/bn3x3_reduce",3,"4b/bndouble_3x3_1-4b/reludouble_3x3_1-4b/conv3x3_reduce-4b/bn3x3_reduce","BatchNormalization","BatchNormalization","BatchNormalization-Elementwise-Convolution-BatchNormalization","","","",""
112,115,"4b/bn3x3_reduce","4b/bn3x3",3,"4b/bn3x3_reduce-4b/relu3x3_reduce-4b/conv3x3-4b/bn3x3","BatchNormalization","BatchNormalization","BatchNormalization-Elementwise-Convolution-BatchNormalization","","","",""
115,118,"4b/bn3x3","4b/bn1x1",3,"4b/bn3x3-4b/relu3x3-4b/conv1x1-4b/bn1x1","BatchNormalization","BatchNormalization","BatchNormalization-Elementwise-Convolution-BatchNormalization","","","",""
118,121,"4b/bn1x1","4c/avg_poolpool",3,"4b/bn1x1-4b/relu1x1-4b/ch_concatchconcat-4c/avg_poolpool","BatchNormalization","Pooling","BatchNormalization-Elementwise-Catenate-Pooling","","","",""
121,124,"","","","","","","","","","",""
124,127,"4c/reluproj","4c/reludouble_3x3_reduce",3,"4c/reluproj-4c/convdouble_3x3_reduce-4c/bndouble_3x3_reduce-4c/reludouble_3x3_reduce","Elementwise","Elementwise","Elementwise-Convolution-BatchNormalization-Elementwise","","","",""
127,130,"","","","","","","","","","",""
130,133,"4c/reludouble_3x3_0","4c/reludouble_3x3_1",3,"4c/reludouble_3x3_0-4c/convdouble_3x3_1-4c/bndouble_3x3_1-4c/reludouble_3x3_1","Elementwise","Elementwise","Elementwise-Convolution-BatchNormalization-Elementwise","","","",""
133,136,"4c/reludouble_3x3_1","4c/relu3x3_reduce",3,"4c/reludouble_3x3_1-4c/conv3x3_reduce-4c/bn3x3_reduce-4c/relu3x3_reduce","Elementwise","Elementwise","Elementwise-Convolution-BatchNormalization-Elementwise","","","",""
136,139,"4c/relu3x3_reduce","4c/relu3x3",3,"4c/relu3x3_reduce-4c/conv3x3-4c/bn3x3-4c/relu3x3","Elementwise","Elementwise","Elementwise-Convolution-BatchNormalization-Elementwise","","","",""
139,142,"4c/relu3x3","4c/relu1x1",3,"4c/relu3x3-4c/conv1x1-4c/bn1x1-4c/relu1x1","Elementwise","Elementwise","Elementwise-Convolution-BatchNormalization-Elementwise","","","",""
142,145,"4c/relu1x1","4d/convproj",3,"4c/relu1x1-4c/ch_concatchconcat-4d/avg_poolpool-4d/convproj","Elementwise","Convolution","Elementwise-Catenate-Pooling-Convolution","","","",""
145,148,"4d/convproj","4d/convdouble_3x3_reduce",3,"4d/convproj-4d/bnproj-4d/reluproj-4d/convdouble_3x3_reduce","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Convolution","","","",""
148,151,"4d/convdouble_3x3_reduce","4d/convdouble_3x3_0",3,"4d/convdouble_3x3_reduce-4d/bndouble_3x3_reduce-4d/reludouble_3x3_reduce-4d/convdouble_3x3_0","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Convolution","","","",""
151,154,"4d/convdouble_3x3_0","4d/convdouble_3x3_1",3,"4d/convdouble_3x3_0-4d/bndouble_3x3_0-4d/reludouble_3x3_0-4d/convdouble_3x3_1","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Convolution","","","",""
154,157,"4d/convdouble_3x3_1","4d/conv3x3_reduce",3,"4d/convdouble_3x3_1-4d/bndouble_3x3_1-4d/reludouble_3x3_1-4d/conv3x3_reduce","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Convolution","","","",""
157,160,"4d/conv3x3_reduce","4d/conv3x3",3,"4d/conv3x3_reduce-4d/bn3x3_reduce-4d/relu3x3_reduce-4d/conv3x3","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Convolution","","","",""
160,163,"4d/conv3x3","4d/conv1x1",3,"4d/conv3x3-4d/bn3x3-4d/relu3x3-4d/conv1x1","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Convolution","","","",""
163,166,"4d/conv1x1","4d/ch_concatchconcat",3,"4d/conv1x1-4d/bn1x1-4d/relu1x1-4d/ch_concatchconcat","Convolution","Catenate","Convolution-BatchNormalization-Elementwise-Catenate","","","",""
166,169,"4d/ch_concatchconcat","4e/bndouble_3x3_reduce",3,"4d/ch_concatchconcat-4e/max_poolpool-4e/convdouble_3x3_reduce-4e/bndouble_3x3_reduce","Catenate","BatchNormalization","Catenate-Pooling-Convolution-BatchNormalization","","","",""
169,172,"4e/bndouble_3x3_reduce","4e/bndouble_3x3_0",3,"4e/bndouble_3x3_reduce-4e/reludouble_3x3_reduce-4e/convdouble_3x3_0-4e/bndouble_3x3_0","BatchNormalization","BatchNormalization","BatchNormalization-Elementwise-Convolution-BatchNormalization","","","",""
172,175,"4e/bndouble_3x3_0","4e/bndouble_3x3_1",3,"4e/bndouble_3x3_0-4e/reludouble_3x3_0-4e/convdouble_3x3_1-4e/bndouble_3x3_1","BatchNormalization","BatchNormalization","BatchNormalization-Elementwise-Convolution-BatchNormalization","","","",""
175,178,"4e/bndouble_3x3_1","4e/bn3x3_reduce",3,"4e/bndouble_3x3_1-4e/reludouble_3x3_1-4e/conv3x3_reduce-4e/bn3x3_reduce","BatchNormalization","BatchNormalization","BatchNormalization-Elementwise-Convolution-BatchNormalization","","","",""
178,181,"4e/bn3x3_reduce","4e/bn3x3",3,"4e/bn3x3_reduce-4e/relu3x3_reduce-4e/conv3x3-4e/bn3x3","BatchNormalization","BatchNormalization","BatchNormalization-Elementwise-Convolution-BatchNormalization","","","",""
181,184,"4e/bn3x3","5a/avg_poolpool",3,"4e/bn3x3-4e/relu3x3-4e/ch_concatchconcat-5a/avg_poolpool","BatchNormalization","Pooling","BatchNormalization-Elementwise-Catenate-Pooling","","","",""
184,187,"","","","","","","","","","",""
187,190,"5a/reluproj","5a/reludouble_3x3_reduce",3,"5a/reluproj-5a/convdouble_3x3_reduce-5a/bndouble_3x3_reduce-5a/reludouble_3x3_reduce","Elementwise","Elementwise","Elementwise-Convolution-BatchNormalization-Elementwise","","","",""
190,193,"5a/reludouble_3x3_reduce","5a/reludouble_3x3_0",3,"5a/reludouble_3x3_reduce-5a/convdouble_3x3_0-5a/bndouble_3x3_0-5a/reludouble_3x3_0","Elementwise","Elementwise","Elementwise-Convolution-BatchNormalization-Elementwise","","","",""
193,196,"5a/reludouble_3x3_0","5a/reludouble_3x3_1",3,"5a/reludouble_3x3_0-5a/convdouble_3x3_1-5a/bndouble_3x3_1-5a/reludouble_3x3_1","Elementwise","Elementwise","Elementwise-Convolution-BatchNormalization-Elementwise","","","",""
196,199,"5a/reludouble_3x3_1","5a/relu3x3_reduce",3,"5a/reludouble_3x3_1-5a/conv3x3_reduce-5a/bn3x3_reduce-5a/relu3x3_reduce","Elementwise","Elementwise","Elementwise-Convolution-BatchNormalization-Elementwise","","","",""
199,202,"5a/relu3x3_reduce","5a/relu3x3",3,"5a/relu3x3_reduce-5a/conv3x3-5a/bn3x3-5a/relu3x3","Elementwise","Elementwise","Elementwise-Convolution-BatchNormalization-Elementwise","","","",""
202,205,"5a/relu3x3","5a/relu1x1",3,"5a/relu3x3-5a/conv1x1-5a/bn1x1-5a/relu1x1","Elementwise","Elementwise","Elementwise-Convolution-BatchNormalization-Elementwise","","","",""
205,208,"5a/relu1x1","5b/convproj",3,"5a/relu1x1-5a/ch_concatchconcat-5b/max_poolpool-5b/convproj","Elementwise","Convolution","Elementwise-Catenate-Pooling-Convolution","","","",""
208,211,"5b/convproj","5b/convdouble_3x3_reduce",3,"5b/convproj-5b/bnproj-5b/reluproj-5b/convdouble_3x3_reduce","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Convolution","","","",""
211,214,"5b/convdouble_3x3_reduce","5b/convdouble_3x3_0",3,"5b/convdouble_3x3_reduce-5b/bndouble_3x3_reduce-5b/reludouble_3x3_reduce-5b/convdouble_3x3_0","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Convolution","","","",""
214,217,"5b/convdouble_3x3_0","5b/convdouble_3x3_1",3,"5b/convdouble_3x3_0-5b/bndouble_3x3_0-5b/reludouble_3x3_0-5b/convdouble_3x3_1","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Convolution","","","",""
217,220,"5b/convdouble_3x3_1","5b/conv3x3_reduce",3,"5b/convdouble_3x3_1-5b/bndouble_3x3_1-5b/reludouble_3x3_1-5b/conv3x3_reduce","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Convolution","","","",""
220,223,"5b/conv3x3_reduce","5b/conv3x3",3,"5b/conv3x3_reduce-5b/bn3x3_reduce-5b/relu3x3_reduce-5b/conv3x3","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Convolution","","","",""
223,226,"5b/conv3x3","5b/conv1x1",3,"5b/conv3x3-5b/bn3x3-5b/relu3x3-5b/conv1x1","Convolution","Convolution","Convolution-BatchNormalization-Elementwise-Convolution","","","",""
226,229,"5b/conv1x1","5b/ch_concatchconcat",3,"5b/conv1x1-5b/bn1x1-5b/relu1x1-5b/ch_concatchconcat","Convolution","Catenate","Convolution-BatchNormalization-Elementwise-Catenate","","","",""
229,232,"","","","","","","","","","",""
232,232,"","","","","","","","","","",""
