"start_index","end_index","start_name","end_name","sequence_length","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","endLayer_path_time","raw_path_time"
76,79,"stage1_block3/conv_branch2c","stage1_block3/relu_stage1_block3",3,"stage1_block3/conv_branch2c-stage1_block3/bn_branch2c-stage1_block3/eltwise_stage1_block3-stage1_block3/relu_stage1_block3","Convolution","Elementwise","Convolution-BatchNormalization-Total-Elementwise","","","",""
79,82,"","","","","","","","","","",""
82,85,"stage2_block0/relu_branch2a","stage2_block0/relu_branch2b",3,"stage2_block0/relu_branch2a-stage2_block0/conv_branch2b-stage2_block0/bn_branch2b-stage2_block0/relu_branch2b","Elementwise","Elementwise","Elementwise-Convolution-BatchNormalization-Elementwise","","","",""
85,88,"stage2_block0/relu_branch2b","stage2_block0/conv_proj_shortcut",3,"stage2_block0/relu_branch2b-stage2_block0/conv_branch2c-stage2_block0/bn_branch2c-stage2_block0/conv_proj_shortcut","Elementwise","Convolution","Elementwise-Convolution-BatchNormalization-Convolution","","","",""
88,91,"stage2_block0/conv_proj_shortcut","stage2_block0/relu_stage2_block0",3,"stage2_block0/conv_proj_shortcut-stage2_block0/bn_proj_shortcut-stage2_block0/eltwise_stage2_block0-stage2_block0/relu_stage2_block0","Convolution","Elementwise","Convolution-BatchNormalization-Total-Elementwise","","","",""
91,94,"","","","","","","","","","",""
94,97,"","","","","","","","","","",""
97,100,"stage2_block1/relu_branch2b","stage2_block1/eltwise_stage2_block1",3,"stage2_block1/relu_branch2b-stage2_block1/conv_branch2c-stage2_block1/bn_branch2c-stage2_block1/eltwise_stage2_block1","Elementwise","Total","Elementwise-Convolution-BatchNormalization-Total","","","",""
100,103,"","","","","","","","","","",""
103,106,"","","","","","","","","","",""
106,109,"","","","","","","","","","",""
109,112,"stage2_block2/bn_branch2c","stage2_block3/conv_branch2a",3,"stage2_block2/bn_branch2c-stage2_block2/eltwise_stage2_block2-stage2_block2/relu_stage2_block2-stage2_block3/conv_branch2a","BatchNormalization","Convolution","BatchNormalization-Total-Elementwise-Convolution","","","",""
112,115,"","","","","","","","","","",""
115,118,"","","","","","","","","","",""
118,121,"stage2_block3/conv_branch2c","stage2_block3/relu_stage2_block3",3,"stage2_block3/conv_branch2c-stage2_block3/bn_branch2c-stage2_block3/eltwise_stage2_block3-stage2_block3/relu_stage2_block3","Convolution","Elementwise","Convolution-BatchNormalization-Total-Elementwise","","","",""
121,124,"","","","","","","","","","",""
124,127,"","","","","","","","","","",""
127,130,"stage2_block4/relu_branch2b","stage2_block4/eltwise_stage2_block4",3,"stage2_block4/relu_branch2b-stage2_block4/conv_branch2c-stage2_block4/bn_branch2c-stage2_block4/eltwise_stage2_block4","Elementwise","Total","Elementwise-Convolution-BatchNormalization-Total","","","",""
130,133,"","","","","","","","","","",""
133,136,"","","","","","","","","","",""
136,139,"","","","","","","","","","",""
139,142,"stage2_block5/bn_branch2c","stage3_block0/conv_branch2a",3,"stage2_block5/bn_branch2c-stage2_block5/eltwise_stage2_block5-stage2_block5/relu_stage2_block5-stage3_block0/conv_branch2a","BatchNormalization","Convolution","BatchNormalization-Total-Elementwise-Convolution","","","",""
142,145,"","","","","","","","","","",""
145,148,"","","","","","","","","","",""
148,151,"stage3_block0/conv_branch2c","stage3_block0/bn_proj_shortcut",3,"stage3_block0/conv_branch2c-stage3_block0/bn_branch2c-stage3_block0/conv_proj_shortcut-stage3_block0/bn_proj_shortcut","Convolution","BatchNormalization","Convolution-BatchNormalization-Convolution-BatchNormalization","","","",""
151,154,"stage3_block0/bn_proj_shortcut","stage3_block1/conv_branch2a",3,"stage3_block0/bn_proj_shortcut-stage3_block0/eltwise_stage3_block0-stage3_block0/relu_stage3_block0-stage3_block1/conv_branch2a","BatchNormalization","Convolution","BatchNormalization-Total-Elementwise-Convolution","","","",""
154,157,"","","","","","","","","","",""
157,160,"","","","","","","","","","",""
160,163,"stage3_block1/conv_branch2c","stage3_block1/relu_stage3_block1",3,"stage3_block1/conv_branch2c-stage3_block1/bn_branch2c-stage3_block1/eltwise_stage3_block1-stage3_block1/relu_stage3_block1","Convolution","Elementwise","Convolution-BatchNormalization-Total-Elementwise","","","",""
163,166,"","","","","","","","","","",""
166,169,"","","","","","","","","","",""
169,172,"stage3_block2/relu_branch2b","stage3_block2/eltwise_stage3_block2",3,"stage3_block2/relu_branch2b-stage3_block2/conv_branch2c-stage3_block2/bn_branch2c-stage3_block2/eltwise_stage3_block2","Elementwise","Total","Elementwise-Convolution-BatchNormalization-Total","","","",""
172,175,"","","","","","","","","","",""
175,177,"","","","","","","","","","",""
