"start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
11,11,0,50,"PrimaryPredVects/2","PrimaryPredVects/2","PrimaryPredVects/2","ConstantArray","ConstantArray","ConstantArray",14885.,14904.5,15006.,"{15006., 14953., 14924., 14904., 14911., 14897., 14896., 14907., 14905., 14913., 14897., 14904., 14916., 14904., 14897., 14903., 14906., 14906., 14900., 14908., 14908., 14900., 14905., 14916., 14918., 14887., 14913., 14898., 14910., 14911., 14907., 14905., 14890., 14900., 14894., 14903., 14897., 14909., 14886., 14894., 14912., 14907., 14903., 14900., 14911., 14913., 14901., 14885., 14893., 14905.}"
12,12,0,50,"PrimaryPredVects/1","PrimaryPredVects/1","PrimaryPredVects/1","Replicate","Replicate","Replicate",44690.,44701.333300000006,44736.,"{44736., 44728., 44727., 44720., 44716., 44719., 44715., 44729., 44706., 44696., 44702., 44694., 44696., 44710., 44699., 44702., 44711., 44702., 44703., 44702., 44701., 44694., 44700., 44694., 44704., 44692., 44697., 44707., 44695., 44703., 44707., 44695., 44690., 44705., 44695., 44707., 44701., 44699., 44696., 44705., 44695., 44706., 44703., 44695., 44704., 44691., 44704., 44697., 44696., 44692.}"
13,13,0,50,"PrimaryPredVects/3","PrimaryPredVects/3","PrimaryPredVects/3","Threading","Threading","Threading",764.,774.5333,1237.,"{1237., 1215., 1015., 823., 785., 776., 797., 781., 777., 779., 775., 790., 776., 780., 775., 772., 785., 774., 770., 768., 767., 773., 783., 770., 771., 769., 782., 787., 776., 769., 764., 771., 781., 770., 771., 770., 769., 777., 770., 771., 773., 771., 779., 770., 768., 771., 767., 784., 771., 764.}"
14,14,0,50,"PrimaryPredVects/4","PrimaryPredVects/4","PrimaryPredVects/4","Aggregation","Aggregation","Aggregation",29791.,29927.9667,30080.,"{29988., 29927., 29904., 29901., 29896., 29887., 29856., 30034., 30019., 29870., 29907., 29875., 29936., 29952., 29928., 29800., 29977., 29876., 29934., 29973., 29998., 29900., 29980., 29881., 29952., 29822., 29942., 29831., 29962., 29915., 29814., 29911., 29915., 29971., 29991., 29840., 30017., 29929., 29925., 29956., 29884., 29956., 29791., 29897., 29952., 29889., 30064., 29996., 30080., 29991.}"
15,15,0,50,"DynamicRouting/1","DynamicRouting/1","DynamicRouting/1","Replicate","Replicate","Replicate",10685.,10692.7333,10724.,"{10724., 10691., 10698., 10703., 10690., 10698., 10697., 10689., 10698., 10698., 10690., 10697., 10697., 10694., 10693., 10695., 10695., 10687., 10691., 10690., 10687., 10695., 10690., 10687., 10695., 10694., 10687., 10700., 10691., 10687., 10691., 10694., 10685., 10693., 10695., 10685., 10692., 10692., 10686., 10690., 10697., 10686., 10698., 10693., 10686., 10696., 10696., 10687., 10690., 10696.}"
16,16,0,50,"DynamicRouting/2/Net/capsule/c/1","DynamicRouting/2/Net/capsule/c/1","DynamicRouting/2/Net/capsule/c/1","Reshape","Reshape","Reshape",20.,20.1,39.,"{39., 23., 21., 20., 21., 20., 21., 20., 20., 20., 20., 20., 20., 20., 20., 21., 21., 21., 21., 21., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 21., 21., 20., 20., 20., 20., 20., 20., 21., 20., 20., 20., 20., 20., 20.}"
17,17,0,50,"DynamicRouting/2/Net/capsule/c/2","DynamicRouting/2/Net/capsule/c/2","DynamicRouting/2/Net/capsule/c/2","Softmax","Softmax","Softmax",229.,233.20000000000002,252.,"{248., 236., 252., 235., 234., 232., 232., 233., 241., 234., 233., 232., 232., 230., 233., 234., 234., 234., 245., 230., 233., 232., 240., 234., 234., 234., 234., 233., 232., 232., 233., 233., 234., 233., 231., 245., 234., 233., 233., 232., 229., 233., 231., 234., 232., 229., 233., 234., 235., 230.}"
18,18,0,50,"DynamicRouting/2/Net/capsule/s/1","DynamicRouting/2/Net/capsule/s/1","DynamicRouting/2/Net/capsule/s/1","Replicate","Replicate","Replicate",5375.,5403.3667000000005,5420.,"{5420., 5407., 5414., 5401., 5403., 5406., 5405., 5397., 5412., 5399., 5402., 5408., 5402., 5404., 5407., 5402., 5398., 5412., 5396., 5410., 5398., 5402., 5406., 5404., 5396., 5408., 5405., 5396., 5416., 5397., 5404., 5406., 5404., 5399., 5412., 5396., 5410., 5398., 5401., 5410., 5399., 5375., 5404., 5405., 5396., 5411., 5399., 5402., 5405., 5404.}"
19,19,0,50,"DynamicRouting/2/Net/capsule/s/2","DynamicRouting/2/Net/capsule/s/2","DynamicRouting/2/Net/capsule/s/2","Threading","Threading","Threading",114.,116.6333,132.,"{132., 117., 114., 115., 114., 114., 114., 114., 114., 114., 114., 115., 114., 129., 118., 117., 117., 117., 116., 118., 117., 117., 117., 117., 117., 117., 116., 117., 117., 116., 117., 117., 117., 117., 116., 117., 116., 117., 116., 117., 117., 117., 117., 117., 117., 127., 116., 116., 116., 117.}"
20,20,0,50,"DynamicRouting/2/Net/capsule/s/3","DynamicRouting/2/Net/capsule/s/3","DynamicRouting/2/Net/capsule/s/3","Aggregation","Aggregation","Aggregation",3484.,3502.5667000000003,3530.,"{3530., 3505., 3514., 3485., 3495., 3512., 3500., 3513., 3506., 3498., 3508., 3497., 3484., 3518., 3504., 3502., 3512., 3501., 3498., 3517., 3494., 3490., 3508., 3498., 3508., 3500., 3504., 3510., 3489., 3499., 3507., 3502., 3501., 3509., 3499., 3499., 3505., 3497., 3501., 3510., 3502., 3503., 3515., 3502., 3497., 3495., 3500., 3507., 3504., 3496.}"
21,21,0,50,"DynamicRouting/2/Net/capsule/v/1","DynamicRouting/2/Net/capsule/v/1","DynamicRouting/2/Net/capsule/v/1","Elementwise","Elementwise","Elementwise",19.,19.5333,37.,"{37., 22., 20., 20., 20., 20., 19., 20., 20., 20., 20., 19., 20., 19., 19., 19., 20., 19., 19., 19., 19., 20., 19., 19., 20., 20., 20., 19., 19., 19., 19., 19., 20., 20., 20., 19., 19., 19., 19., 19., 20., 20., 20., 20., 19., 19., 20., 20., 20., 19.}"
22,22,0,50,"DynamicRouting/2/Net/capsule/v/2","DynamicRouting/2/Net/capsule/v/2","DynamicRouting/2/Net/capsule/v/2","Aggregation","Aggregation","Aggregation",27.,28.,40.,"{40., 29., 28., 28., 27., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 27., 28., 29., 28., 28., 28., 27., 29., 28., 27., 28., 28., 27., 28., 28., 28., 28., 27., 28., 35., 29., 28., 27., 28., 28., 28., 28., 28., 28., 28., 27.}"
23,23,0,50,"DynamicRouting/2/Net/capsule/v/3","DynamicRouting/2/Net/capsule/v/3","DynamicRouting/2/Net/capsule/v/3","Elementwise","Elementwise","Elementwise",19.,20.,42.,"{42., 22., 21., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 19., 20., 20., 20., 20., 20., 20., 28., 20., 20., 20., 21., 20., 21., 20., 20., 20., 20., 20., 20., 21., 20., 20., 21., 20., 20., 20., 20., 20., 20., 20., 20., 21., 21.}"
24,24,0,50,"DynamicRouting/2/Net/capsule/v/4","DynamicRouting/2/Net/capsule/v/4","DynamicRouting/2/Net/capsule/v/4","Replicate","Replicate","Replicate",28.,29.,44.,"{44., 32., 30., 29., 29., 29., 30., 29., 29., 29., 29., 34., 29., 29., 29., 29., 29., 29., 30., 29., 29., 28., 29., 29., 29., 29., 29., 29., 29., 30., 29., 29., 29., 29., 28., 29., 29., 42., 29., 29., 28., 29., 29., 28., 29., 28., 29., 29., 28., 29.}"
25,25,0,50,"DynamicRouting/2/Net/capsule/v/5","DynamicRouting/2/Net/capsule/v/5","DynamicRouting/2/Net/capsule/v/5","Threading","Threading","Threading",19.,19.3,36.,"{36., 22., 20., 19., 20., 20., 19., 19., 20., 20., 19., 19., 19., 20., 20., 20., 19., 19., 19., 19., 19., 20., 20., 20., 19., 19., 19., 19., 19., 20., 20., 20., 20., 20., 19., 19., 19., 19., 19., 20., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19.}"
26,26,0,50,"DynamicRouting/2/Net/dots/1","DynamicRouting/2/Net/dots/1","DynamicRouting/2/Net/dots/1","Replicate","Replicate","Replicate",5386.,5394.166700000001,5412.,"{5412., 5398., 5388., 5406., 5389., 5395., 5398., 5398., 5395., 5396., 5396., 5395., 5394., 5390., 5402., 5388., 5396., 5396., 5392., 5389., 5402., 5392., 5390., 5403., 5388., 5395., 5396., 5393., 5390., 5402., 5387., 5402., 5389., 5392., 5400., 5390., 5393., 5395., 5395., 5387., 5402., 5389., 5393., 5395., 5394., 5392., 5397., 5394., 5386., 5405.}"
27,27,0,50,"DynamicRouting/2/Net/dots/2","DynamicRouting/2/Net/dots/2","DynamicRouting/2/Net/dots/2","Threading","Threading","Threading",116.,116.83330000000001,136.,"{136., 120., 117., 117., 117., 117., 117., 117., 117., 117., 129., 116., 117., 116., 117., 117., 118., 117., 116., 117., 116., 117., 117., 117., 117., 117., 117., 117., 117., 117., 117., 116., 117., 117., 116., 117., 116., 117., 116., 116., 117., 117., 127., 116., 116., 116., 116., 116., 117., 116.}"
28,28,0,50,"DynamicRouting/2/Net/dots/3","DynamicRouting/2/Net/dots/3","DynamicRouting/2/Net/dots/3","Aggregation","Aggregation","Aggregation",3539.,3556.8667,3575.,"{3575., 3569., 3557., 3557., 3563., 3561., 3552., 3555., 3557., 3562., 3556., 3555., 3563., 3556., 3557., 3556., 3554., 3557., 3566., 3553., 3564., 3553., 3557., 3562., 3542., 3556., 3561., 3547., 3566., 3564., 3557., 3557., 3566., 3554., 3551., 3553., 3551., 3558., 3557., 3550., 3559., 3539., 3554., 3575., 3552., 3551., 3560., 3550., 3551., 3564.}"
29,29,0,50,"DynamicRouting/2/Net/dots_flatten","DynamicRouting/2/Net/dots_flatten","DynamicRouting/2/Net/dots_flatten","Flatten","Flatten","Flatten",19.,20.,39.,"{39., 22., 20., 20., 21., 20., 20., 21., 20., 20., 21., 20., 20., 20., 20., 20., 20., 19., 21., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 21., 20., 20., 20., 20., 20., 20., 20., 20., 22., 21.}"
30,30,0,50,"DynamicRouting/2/Net/new_b","DynamicRouting/2/Net/new_b","DynamicRouting/2/Net/new_b","Threading","Threading","Threading",27.,27.8,41.,"{41., 30., 28., 27., 28., 28., 28., 27., 28., 28., 27., 28., 27., 28., 28., 27., 28., 27., 28., 27., 28., 28., 28., 28., 27., 28., 27., 27., 28., 27., 28., 28., 28., 28., 27., 28., 28., 27., 28., 28., 27., 28., 27., 28., 28., 27., 28., 28., 28., 28.}"
31,31,0,50,"DynamicRouting/3","DynamicRouting/3","DynamicRouting/3","SequenceLast","SequenceLast","SequenceLast",227.,227.8667,250.,"{250., 231., 241., 229., 228., 228., 228., 228., 228., 228., 227., 228., 228., 228., 227., 228., 228., 227., 228., 238., 228., 228., 228., 228., 227., 228., 227., 228., 228., 227., 228., 228., 228., 227., 228., 228., 227., 235., 228., 227., 227., 227., 227., 233., 228., 228., 227., 228., 227., 228.}"
32,32,0,50,"DigitCaps/c/1","DigitCaps/c/1","DigitCaps/c/1","Reshape","Reshape","Reshape",19.,20.166700000000002,39.,"{39., 22., 20., 20., 21., 21., 20., 20., 20., 19., 20., 20., 21., 21., 21., 21., 21., 21., 20., 20., 21., 21., 21., 21., 27., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20.}"
33,33,0,50,"DigitCaps/c/2","DigitCaps/c/2","DigitCaps/c/2","Softmax","Softmax","Softmax",229.,232.66670000000002,250.,"{250., 232., 242., 235., 230., 232., 232., 233., 233., 230., 234., 234., 229., 235., 231., 231., 233., 233., 234., 243., 235., 232., 232., 232., 233., 234., 232., 233., 231., 233., 231., 231., 233., 231., 233., 239., 235., 234., 232., 232., 233., 232., 243., 230., 229., 233., 231., 234., 232., 233.}"
34,34,0,50,"DigitCaps/s/1","DigitCaps/s/1","DigitCaps/s/1","Replicate","Replicate","Replicate",5388.,5403.3,5432.,"{5432., 5411., 5398., 5416., 5398., 5405., 5407., 5407., 5397., 5412., 5399., 5411., 5397., 5405., 5413., 5400., 5403., 5409., 5410., 5399., 5410., 5397., 5402., 5402., 5401., 5402., 5406., 5402., 5403., 5402., 5396., 5408., 5396., 5407., 5405., 5402., 5397., 5408., 5402., 5396., 5408., 5397., 5388., 5403., 5402., 5396., 5410., 5397., 5408., 5408.}"
35,35,0,50,"DigitCaps/s/2","DigitCaps/s/2","DigitCaps/s/2","Threading","Threading","Threading",116.,116.7667,135.,"{135., 119., 117., 117., 117., 117., 117., 117., 117., 117., 117., 117., 117., 117., 116., 116., 117., 117., 117., 117., 117., 116., 116., 116., 117., 116., 116., 127., 117., 117., 117., 116., 116., 117., 117., 117., 116., 117., 116., 117., 116., 117., 116., 116., 117., 116., 116., 117., 116., 117.}"
36,36,0,50,"DigitCaps/s/3","DigitCaps/s/3","DigitCaps/s/3","Aggregation","Aggregation","Aggregation",3488.,3502.3,3533.,"{3533., 3520., 3501., 3502., 3508., 3506., 3499., 3498., 3503., 3498., 3511., 3499., 3504., 3515., 3500., 3498., 3495., 3504., 3507., 3502., 3498., 3508., 3498., 3498., 3517., 3495., 3503., 3513., 3501., 3496., 3515., 3491., 3495., 3509., 3499., 3514., 3498., 3501., 3509., 3488., 3506., 3508., 3505., 3498., 3512., 3498., 3501., 3504., 3489., 3501.}"
37,37,0,50,"DigitCaps/v/1","DigitCaps/v/1","DigitCaps/v/1","Elementwise","Elementwise","Elementwise",18.,19.,35.,"{35., 22., 20., 19., 19., 19., 19., 19., 19., 19., 20., 19., 19., 19., 19., 18., 20., 20., 19., 20., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 18., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19.}"
38,38,0,50,"DigitCaps/v/2","DigitCaps/v/2","DigitCaps/v/2","Aggregation","Aggregation","Aggregation",27.,27.933300000000003,39.,"{39., 29., 28., 27., 27., 27., 28., 28., 27., 28., 27., 28., 27., 28., 27., 28., 27., 28., 27., 28., 28., 27., 34., 29., 32., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 36., 28., 28., 28., 28., 28., 28., 28., 27., 28., 28., 28., 28., 27., 28.}"
39,39,0,50,"DigitCaps/v/3","DigitCaps/v/3","DigitCaps/v/3","Elementwise","Elementwise","Elementwise",19.,20.,42.,"{42., 23., 20., 20., 21., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 19., 21., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20., 20.}"
40,40,0,50,"DigitCaps/v/4","DigitCaps/v/4","DigitCaps/v/4","Replicate","Replicate","Replicate",28.,29.,44.,"{44., 31., 29., 29., 29., 28., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 30., 29., 30., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29., 29.}"
41,41,0,50,"DigitCaps/v/5","DigitCaps/v/5","DigitCaps/v/5","Threading","Threading","Threading",19.,19.2333,36.,"{36., 22., 20., 19., 20., 19., 20., 19., 19., 20., 20., 19., 19., 19., 20., 19., 19., 19., 20., 19., 19., 20., 19., 19., 19., 20., 19., 19., 19., 19., 19., 19., 19., 19., 20., 20., 19., 19., 19., 19., 20., 20., 20., 19., 19., 19., 19., 19., 19., 20.}"
42,42,0,50,"Norm/1","Norm/1","Norm/1","Elementwise","Elementwise","Elementwise",19.,19.,36.,"{36., 22., 20., 19., 19., 19., 19., 19., 20., 20., 20., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 20., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 20., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19.}"
43,43,0,50,"Norm/2","Norm/2","Norm/2","Aggregation","Aggregation","Aggregation",27.,27.8333,40.,"{40., 30., 28., 28., 28., 28., 27., 27., 28., 28., 27., 28., 27., 28., 28., 28., 27., 28., 28., 27., 28., 28., 28., 28., 28., 28., 28., 27., 28., 28., 27., 28., 27., 28., 27., 28., 27., 28., 27., 28., 27., 28., 27., 28., 27., 28., 28., 28., 28., 28.}"
44,44,0,50,"Norm/3","Norm/3","Norm/3","Elementwise","Elementwise","Elementwise",18.,19.,35.,"{35., 21., 20., 19., 19., 19., 19., 19., 19., 19., 34., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 19., 18., 19., 19., 19., 19., 19., 19., 19., 18., 19., 18., 19., 19., 18., 19., 19., 19., 19., 19., 19., 18., 19., 19., 19., 19., 19., 19.}"
45,45,0,50,"Pick/1","Pick/1","Pick/1","Ordering","Ordering","Ordering",19.,19.8,37.,"{37., 23., 20., 20., 20., 20., 19., 20., 20., 19., 20., 20., 20., 20., 19., 20., 20., 19., 20., 19., 20., 19., 20., 19., 20., 19., 20., 19., 19., 20., 19., 20., 20., 20., 20., 20., 19., 20., 19., 20., 20., 19., 20., 20., 20., 19., 20., 20., 19., 20.}"
46,53,7,50,"Pick/2","Reconstruct/7","Pick/2-Reconstruct/1-Reconstruct/2-Reconstruct/3-Reconstruct/4-Reconstruct/5-Reconstruct/6-Reconstruct/7","Extract","Reshape","Extract-Linear-Elementwise-Linear-Elementwise-Linear-Elementwise-Reshape",106.,107.2333,321.,"{321., 130., 114., 110., 109., 108., 108., 107., 106., 108., 108., 107., 108., 107., 108., 108., 106., 107., 107., 106., 108., 106., 107., 107., 107., 124., 111., 107., 108., 107., 107., 107., 107., 107., 106., 108., 107., 107., 107., 107., 106., 106., 107., 107., 107., 107., 106., 107., 107., 107.}"
